x,y
-0.141003,-4.7802
0.723118,-4.70077
-0.165491,-4.58624
-0.121158,-4.49428
0.0552474,-4.45652
0.541686,-4.45077
0.650579,-4.51836
0.739183,-4.48406
-0.163941,-4.36026
-0.0893238,-4.24364
0.0138306,-4.25137
0.0653904,-4.35946
0.194948,-4.33235
0.213866,-4.20762
0.339483,-4.34943
0.362075,-4.21038
0.508607,-4.2012
0.56161,-4.32504
0.642875,-4.21875
0.721229,-4.30992
1.56803,-4.23812
-0.183779,-4.03909
-0.128578,-3.96093
0.0146363,-3.95739
0.103422,-4.06721
0.189151,-3.99909
0.306812,-4.11085
0.433341,-3.93966
0.541316,-4.09602
0.618285,-4.03715
0.685423,-3.9799
-0.195742,-3.83499
-0.167347,-3.74462
-0.0634151,-3.76672
0.0674364,-3.77993
0.190847,-3.86521
0.258511,-3.69302
0.339148,-3.8382
0.491348,-3.83638
0.586037,-3.78136
0.662287,-3.73068
1.40131,-3.76083
-2.58948,-3.59887
-2.49624,-3.52412
-0.195214,-3.60263
-0.132471,-3.58553
-0.0177931,-3.66279
0.102924,-3.51217
0.208017,-3.45167
0.303384,-3.56187
0.424571,-3.50651
0.539413,-3.46582
0.642478,-3.4895
1.3448,-3.51716
-2.39886,-3.36002
-2.28524,-3.32897
-0.589119,-3.25637
-0.526814,-3.35063
-0.176061,-3.32015
-0.140705,-3.20581
-0.0774244,-3.3358
0.10959,-3.38609
0.165076,-3.23628
0.322347,-3.36447
0.401144,-3.19845
0.497702,-3.34578
0.585892,-3.21446
1.26621,-3.31436
2.01205,-3.25107
2.0815,-3.33941
3.40011,-3.31862
-2.2835,-3.06789
-2.15705,-3.07027
-2.1348,-2.97573
-2.01653,-3.07289
-0.558437,-3.07308
-0.465782,-3.12766
-0.36814,-3.07494
-0.198794,-3.07311
-0.0847108,-3.14705
-0.0925712,-3.00665
0.019092,-3.01687
0.124396,-3.12341
0.290988,-3.12242
0.402497,-3.08241
0.472605,-2.96764
0.577716,-3.0593
1.18048,-3.0348
1.83887,-3.00436
1.95727,-3.06034
3.11202,-3.01378
3.21267,-3.083
-2.12276,-2.81732
-2.0669,-2.87929
-1.9086,-2.76989
-1.87217,-2.88443
-0.589369,-2.79733
-0.581682,-2.91241
-0.434024,-2.77864
-0.347135,-2.90587
-0.296618,-2.78766
-0.201486,-2.8429
-0.118951,-2.86728
-0.0325415,-2.74608
0.0208708,-2.93409
0.164468,-2.78197
0.273097,-2.80643
0.395741,-2.81795
0.478239,-2.91562
0.569706,-2.84446
1.06545,-2.80856
1.16719,-2.88048
1.77215,-2.879
1.84118,-2.7818
2.9501,-2.78572
-2.88396,-2.6265
-2.81689,-2.64155
-2.01045,-2.63951
-1.93087,-2.60074
-1.8464,-2.66177
-1.71016,-2.55354
-1.69963,-2.68918
-1.61264,-2.61342
-0.65122,-2.57979
-0.535365,-2.64653
-0.434363,-2.65335
-0.351478,-2.57517
-0.287651,-2.68255
-0.157797,-2.5539
-0.184015,-2.6443
-0.0614418,-2.65401
0.0419982,-2.69394
0.11889,-2.57654
0.270918,-2.66237
0.34906,-2.59564
0.482109,-2.72008
0.560749,-2.66576
1.0048,-2.62428
1.10448,-2.64131
1.62692,-2.63583
1.71003,-2.5749
1.78406,-2.65094
2.70493,-2.57881
2.76587,-2.67363
2.84471,-2.65053
3.91725,-2.59038
3.97971,-2.66996
4.08633,-2.65721
-2.76281,-2.49182
-2.64463,-2.49281
-1.91583,-2.51126
-1.87435,-2.4158
-1.7528,-2.43502
-1.614,-2.51109
-1.56876,-2.41722
-1.50753,-2.51461
-0.711719,-2.49872
-0.678761,-2.39178
-0.577587,-2.43808
-0.485094,-2.55191
-0.438989,-2.44643
-0.3207,-2.51334
-0.208617,-2.51045
-0.125732,-2.46872
-0.0734987,-2.5748
0.0430323,-2.50703
0.225427,-2.48073
0.324646,-2.46402
0.410967,-2.49026
0.549072,-2.49935
1.00813,-2.44565
1.50715,-2.45159
1.58847,-2.41097
1.69423,-2.50933
2.53864,-2.42358
2.6476,-2.4612
3.67354,-2.48869
3.77826,-2.42294
3.88098,-2.46529
3.96598,-2.49819
-2.67087,-2.36293
-2.60876,-2.26895
-2.48209,-2.33853
-2.4049,-2.28381
-1.80868,-2.32399
-1.71674,-2.3033
-1.64099,-2.36022
-1.54299,-2.31533
-1.42899,-2.34251
-1.35743,-2.35321
-0.776824,-2.30922
-0.718257,-2.29484
-0.638467,-2.32353
-0.582626,-2.3491
-0.46706,-2.37296
-0.372563,-2.364
-0.246788,-2.40686
-0.109326,-2.35619
0.0020445,-2.43106
0.124534,-2.38993
0.249834,-2.33313
0.364529,-2.29147
0.461429,-2.29892
0.530044,-2.33044
0.896828,-2.32667
1.01239,-2.3334
1.40194,-2.28858
1.50455,-2.35246
1.62459,-2.31567
2.41879,-2.32581
2.51933,-2.28664
3.42595,-2.29592
3.50341,-2.39427
3.54457,-2.29517
3.66832,-2.37554
3.74456,-2.30824
3.80803,-2.25677
3.90422,-2.31237
-2.5349,-2.22403
-2.43622,-2.13086
-2.34023,-2.16574
-2.26185,-2.16299
-1.71935,-2.18586
-1.61914,-2.15653
-1.52685,-2.16868
-1.43493,-2.22289
-1.35388,-2.18438
-1.26142,-2.16694
-1.21476,-2.19333
-0.79697,-2.18587
-0.750605,-2.23109
-0.645287,-2.17102
-0.585877,-2.18191
-0.458602,-2.22466
-0.378374,-2.20512
-0.198981,-2.26818
-0.0675944,-2.25008
0.0505267,-2.25133
0.219527,-2.21843
0.310807,-2.20862
0.365745,-2.09703
0.457623,-2.20739
0.521049,-2.19628
0.854425,-2.21844
0.94772,-2.16957
1.3439,-2.20795
1.4185,-2.18996
1.48208,-2.13143
1.57664,-2.17635
2.26072,-2.16654
2.36092,-2.21333
2.43319,-2.16504
3.17441,-2.20762
3.21848,-2.16225
3.32309,-2.19042
3.33899,-2.26977
3.42489,-2.17204
3.53077,-2.17914
3.63892,-2.22908
3.68366,-2.16502
3.78763,-2.15233
-2.43773,-2.05544
-2.32871,-2.0616
-2.22383,-2.06791
-2.14648,-2.05357
-1.62405,-2.0787
-1.54119,-2.01208
-1.50638,-2.1027
-1.34874,-2.03746
-1.23867,-2.07995
-1.15985,-2.13248
-1.10647,-2.06397
-0.768606,-2.05334
-0.712253,-2.09489
-0.574932,-2.0074
-0.483081,-2.12381
-0.385986,-2.06833
-0.244652,-2.10547
-0.0941307,-2.11744
0.130905,-2.10837
0.254834,-2.03167
0.337852,-2.04498
0.417903,-2.01304
0.504584,-2.08627
0.810952,-2.07543
0.931731,-2.09068
1.2615,-2.07927
1.34235,-2.04404
1.36537,-2.1304
1.52157,-2.06189
2.18292,-2.08409
2.33714,-2.04845
2.92552,-2.06211
3.01609,-2.10046
3.03997,-2.04947
3.1306,-2.09107
3.22863,-2.05519
3.33742,-2.06282
3.46235,-1.99512
3.49041,-2.09554
3.59837,-2.00248
3.65764,-2.08103
-4.35004,-1.96134
-2.37037,-1.97296
-2.31286,-1.90527
-2.21596,-1.93447
-2.13262,-1.95136
-2.09397,-1.90569
-2.01883,-1.95346
-1.55135,-1.91157
-1.44286,-1.97979
-1.39768,-1.91458
-1.26073,-1.92722
-1.16778,-2.02368
-1.04929,-1.91225
-1.01501,-1.97042
-0.757294,-1.9658
-0.721026,-1.88274
