x,y
0.242714,-4.33543
-0.237339,-4.14758
-0.159861,-4.1779
-0.0818075,-4.20844
-0.00347939,-4.23909
0.0705892,-4.26808
0.0896026,-4.21785
0.151337,-4.29967
0.328297,-4.35435
0.314588,-4.29154
0.39402,-4.33918
0.454861,-4.32514
0.520902,-4.3099
0.615148,-4.28816
0.717953,-4.26443
0.791375,-4.24749
0.865336,-4.23042
0.842217,-4.1693
0.970031,-4.20626
0.987195,-4.14125
1.07024,-4.18313
1.16385,-4.16153
1.24442,-4.14294
1.32055,-4.12537
1.40831,-4.10512
1.53759,-4.07528
1.62149,-4.05592
-1.00586,-3.84686
-0.918634,-3.88099
-0.856698,-3.83282
-0.819427,-3.91981
-0.752658,-3.94594
-0.689016,-3.97084
-0.624706,-3.99601
-0.59375,-3.94233
-0.5213,-4.03647
-0.438477,-4.06888
-0.218078,-4.09416
-0.279597,-4.05514
-0.310966,-4.11877
-0.145595,-4.12022
0.000339058,-4.16907
-0.0602925,-4.07238
0.0582924,-4.10946
0.211124,-4.19279
0.152588,-4.16715
0.333411,-4.21341
0.403251,-4.2616
0.475392,-4.2574
0.632611,-4.20771
0.593194,-4.14806
0.767049,-4.19065
0.915419,-4.15008
0.967379,-4.07722
1.13116,-4.09919
1.0618,-4.1248
1.04263,-4.0594
1.38555,-4.00394
1.19682,-4.07785
1.31984,-4.06766
1.38575,-4.06192
1.57407,-3.91202
1.5922,-3.98835
1.65917,-3.97308
1.71419,-4.03453
1.79816,-4.01515
1.89874,-3.98888
1.91988,-3.91199
2.00099,-3.92846
2.07788,-3.88303
2.15124,-3.83968
-1.86635,-3.61166
-1.79385,-3.63046
-1.66262,-3.66448
-1.58787,-3.68386
-1.48225,-3.64976
-1.5024,-3.70602
-1.42064,-3.72722
-1.34233,-3.74752
-1.32837,-3.68764
-1.26824,-3.76673
-1.20036,-3.78432
-1.13542,-3.80116
-0.890921,-3.74305
-1.071,-3.82137
-0.917128,-3.80965
-0.798712,-3.85702
-0.824308,-3.76824
-0.731826,-3.88044
-0.574738,-3.86846
-0.530453,-3.96289
-0.472902,-3.97775
-0.417001,-4.01012
-0.247688,-3.99867
-0.189938,-4.03894
-0.146595,-3.9818
-0.0657597,-4.14583
-0.000801096,-4.09245
0.271934,-4.20451
0.469456,-4.19356
0.53579,-4.18732
0.579894,-4.0924
0.817364,-4.10383
0.891773,-4.08353
0.796658,-4.03811
1.31113,-4.00678
1.29069,-3.95049
1.22523,-3.96679
1.45634,-4.0148
1.47257,-4.09029
1.72014,-3.96583
1.78911,-3.95602
1.72609,-3.89904
1.85265,-3.93926
1.88147,-3.85457
1.97825,-3.8766
2.04087,-3.83979
2.10678,-3.79518
2.24128,-3.78647
2.22234,-3.71631
2.31579,-3.74244
2.3865,-3.70066
2.34484,-3.65421
2.49396,-3.63716
2.57588,-3.58875
-2.80132,-3.33391
-2.73875,-3.38548
-2.66027,-3.40583
-2.57385,-3.30289
-2.55119,-3.43411
-2.47555,-3.45372
-2.45188,-3.39751
-2.32253,-3.49339
-2.30212,-3.43681
-2.16851,-3.53332
-2.08639,-3.48521
-2.08647,-3.55459
-1.9793,-3.51911
-2.00116,-3.57671
-1.93472,-3.59394
-1.77635,-3.57636
-1.72672,-3.64786
-1.69861,-3.57055
-1.63816,-3.60513
-1.44758,-3.52289
-1.5428,-3.57817
-1.40412,-3.67046
-1.38913,-3.61118
-1.2971,-3.56801
-1.25621,-3.70135
-1.24044,-3.63449
-0.980501,-3.78778
-1.01224,-3.63478
-0.69458,-3.81656
-0.662883,-3.90611
-0.63307,-3.84272
-0.33991,-4.02272
-0.517141,-3.88936
-0.209753,-3.94502
-0.373482,-4.09431
-0.122516,-4.0649
0.156783,-4.09304
0.558577,-4.24899
0.701168,-3.99774
0.776178,-3.96806
0.870712,-4.01795
0.948422,-4.00689
1.25455,-4.06742
1.50579,-3.92009
1.44409,-3.94029
1.52369,-4.00335
1.64454,-3.90257
1.94552,-3.81791
2.00955,-3.78076
2.07124,-3.74209
2.28339,-3.68744
2.16263,-3.75032
2.238,-3.55152
2.26205,-3.62096
2.47417,-3.58143
2.63549,-3.55353
2.40602,-3.61116
2.69574,-3.51793
2.66476,-3.46801
2.76912,-3.47457
2.84641,-3.4289
2.9239,-3.38311
2.98999,-3.34405
-3.05615,-3.11093
-2.94493,-3.20825
-2.87326,-3.27096
-2.91037,-3.15539
-2.86392,-3.19109
-2.60128,-3.36232
-2.824,-3.23416
-2.70763,-3.32458
-2.52732,-3.3814
-2.50511,-3.3217
-2.39203,-3.47537
-2.23833,-3.51522
-2.23563,-3.46045
-2.03527,-3.42465
-2.09017,-3.41212
-2.02839,-3.3538
-1.91256,-3.52925
-1.84375,-3.54977
-1.55752,-3.63218
-1.59705,-3.49418
-1.46365,-3.58814
-1.18734,-3.7208
-1.1187,-3.73434
-1.08078,-3.60345
-1.10004,-3.67428
-1.05104,-3.76006
-0.961538,-3.72223
-0.707954,-3.64306
-0.51163,-3.81199
-0.300219,-3.94437
0.25485,-4.27446
-0.0663882,-3.99623
0.568659,-4.02217
0.662747,-4.11315
0.944568,-3.84791
1.01961,-3.99053
1.37093,-3.9426
1.54791,-3.82902
1.78187,-3.81243
1.80891,-3.88049
1.96758,-3.7203
2.20001,-3.6501
2.43287,-3.52394
2.49678,-3.48801
2.53274,-3.54117
2.61893,-3.42498
2.67098,-3.38381
2.77245,-3.39288
2.72326,-3.42932
2.82896,-3.3634
3.02258,-3.25081
3.05457,-3.30589
3.08903,-3.21911
3.12035,-3.26702
3.14504,-3.18176
3.22315,-3.20627
3.29585,-3.12638
-3.35216,-2.85192
-3.29168,-2.90484
-3.2362,-2.95338
-3.08262,-2.99413
-3.12483,-3.05084
-3.0099,-2.96056
-3.00218,-3.15815
-2.99773,-3.07152
-2.95548,-3.11003
-2.82985,-3.13033
-2.78013,-3.17944
-2.77447,-3.28038
