Step,KineticEnergy
4140,3.59293
4150,3.58133
4160,3.56491
4170,3.54515
4180,3.52394
4190,3.50317
4200,3.4845
4210,3.46934
4220,3.45988
4230,3.45686
4240,3.45913
4250,3.46391
4260,3.46888
4270,3.47115
4280,3.46931
4290,3.46463
4300,3.4565
4310,3.44579
4320,3.43514
4330,3.42722
4340,3.42349
4350,3.42439
4360,3.43005
4370,3.43988
4380,3.4528
4390,3.46616
4400,3.47818
4410,3.48766
4420,3.49257
4430,3.49279
4440,3.48875
4450,3.48064
4460,3.46933
4470,3.45719
4480,3.44496
4490,3.43268
4500,3.42159
4510,3.41054
4520,3.39819
4530,3.38395
4540,3.36763
4550,3.34951
4560,3.3302
4570,3.30961
4580,3.28852
4590,3.2678
4600,3.24936
4610,3.23523
4620,3.22626
4630,3.22243
4640,3.22433
4650,3.23241
4660,3.24534
4670,3.26153
4680,3.27795
4690,3.29222
4700,3.30485
4710,3.31537
4720,3.32348
4730,3.32835
4740,3.32844
4750,3.3228
4760,3.31213
4770,3.29725
4780,3.27978
4790,3.26017
4800,3.24014
4810,3.22106
4820,3.20401
4830,3.19015
4840,3.1802
4850,3.17401
4860,3.17114
4870,3.17153
4880,3.17429
4890,3.17927
4900,3.18593
4910,3.19454
4920,3.20205
4930,3.20615
4940,3.20607
4950,3.20088
4960,3.18932
4970,3.17244
4980,3.15175
4990,3.12919
5000,3.10724
5010,3.08731
5020,3.06955
5030,3.05521
5040,3.045
5050,3.0395
5060,3.03866
5070,3.04157
5080,3.04758
5090,3.05604
5100,3.06628
5110,3.07665
5120,3.08553
5130,3.09161
5140,3.09393
5150,3.09245
5160,3.08853
5170,3.08385
5180,3.07929
5190,3.07573
5200,3.07448
5210,3.07662
5220,3.08289
5230,3.0933
5240,3.10649
5250,3.12116
5260,3.13677
5270,3.15235
5280,3.16718
5290,3.18084
5300,3.19165
5310,3.19777
5320,3.19802
5330,3.19271
5340,3.1835
5350,3.1722
5360,3.16125
5370,3.15236
5380,3.14734
5390,3.14736
5400,3.15225
5410,3.16125
5420,3.1733
5430,3.18687
5440,3.20032
5450,3.21101
5460,3.21659
5470,3.21537
5480,3.20662
5490,3.19175
5500,3.17218
5510,3.14975
5520,3.12615
5530,3.10341
5540,3.08372
5550,3.06829
5560,3.05729
5570,3.05041
5580,3.04798
5590,3.05011
5600,3.05553
5610,3.06337
5620,3.07298
5630,3.0824
5640,3.08928
5650,3.09289
5660,3.09211
5670,3.08635
5680,3.07625
5690,3.06283
5700,3.0478
5710,3.03364
5720,3.0227
5730,3.01628
5740,3.0138
5750,3.01395
5760,3.01594
5770,3.01914
5780,3.02303
5790,3.02623
5800,3.02706
5810,3.02505
5820,3.02018
5830,3.01302
5840,3.00317
5850,2.99044
5860,2.97502
5870,2.95728
5880,2.93777
5890,2.91671
5900,2.89585
5910,2.87579
5920,2.85775
5930,2.84219
5940,2.82938
5950,2.82065
5960,2.81602
5970,2.81577
5980,2.81978
5990,2.82754
6000,2.83809
6010,2.84963
6020,2.86064
6030,2.87113
6040,2.88124
6050,2.89032
6060,2.89721
6070,2.90102
6080,2.90121
6090,2.89753
6100,2.89016
6110,2.87933
6120,2.86556
6130,2.85051
6140,2.83662
6150,2.82553
6160,2.81685
6170,2.81086
6180,2.80844
6190,2.80877
6200,2.81013
6210,2.81227
6220,2.81693
6230,2.82498
6240,2.83663
6250,2.85083
6260,2.86662
6270,2.88339
6280,2.90033
6290,2.91684
6300,2.93231
6310,2.94595
6320,2.9566
6330,2.96349
6340,2.96678
6350,2.9664
6360,2.96288
6370,2.95739
6380,2.95104
6390,2.94414
6400,2.93697
6410,2.92969
6420,2.92214
6430,2.91462
6440,2.90691
6450,2.8983
6460,2.8884
6470,2.87675
6480,2.86372
6490,2.84989
6500,2.83615
6510,2.82307
6520,2.81062
6530,2.79879
6540,2.78794
6550,2.77861
6560,2.7708
6570,2.76547
6580,2.76327
6590,2.76417
6600,2.76784
6610,2.77375
6620,2.78131
6630,2.7885
6640,2.79367
6650,2.79657
6660,2.79663
6670,2.79383
6680,2.78841
6690,2.7816
6700,2.77414
6710,2.76788
6720,2.76414
6730,2.76282
6740,2.76309
6750,2.76411
6760,2.76529
6770,2.76742
6780,2.77044
6790,2.77317
6800,2.77477
6810,2.77409
