x,y
2.73234,-3.25806
2.41352,-3.267
2.73842,-3.09078
3.1128,-3.03359
3.2718,-2.99111
3.43854,-2.68279
3.48142,-2.57405
3.71386,-2.46705
3.64944,-2.55744
3.57431,-2.49237
3.79773,-2.54086
3.87195,-2.45426
3.95074,-2.36235
-3.88942,-2.21495
-3.70558,-2.32954
-3.8488,-2.29038
-3.59475,-2.49777
-3.39828,-2.20364
-3.55467,-2.67473
-3.54287,-2.38096
-2.80717,-2.19361
-3.19937,-2.70535
-2.83062,-2.73751
-2.74773,-3.10954
-2.67374,-3.16743
-2.64589,-3.04661
-2.11901,-2.81491
-2.01095,-3.24104
-1.46158,-3.27679
-1.36831,-3.17576
-0.726667,-3.48553
-0.935404,-3.64093
-0.217459,-3.81659
-0.37158,-3.48526
0.114464,-3.67707
0.876876,-3.84985
1.04439,-3.73362
1.75294,-3.44927
1.89169,-3.39169
2.04636,-3.09636
2.59422,-2.8254
2.85859,-3.08124
3.1992,-2.79136
3.11836,-2.86477
3.19807,-2.94598
3.34664,-2.60664
3.34441,-2.7613
3.41937,-2.36257
3.18532,-2.62656
3.84819,-2.14632
3.79269,-2.38517
3.73492,-2.079
4.0237,-2.27723
4.09238,-2.1971
-3.97749,-2.05138
-3.93348,-2.13312
-3.65073,-2.42138
-3.77474,-2.42792
-3.6577,-2.19312
-3.3837,-2.38725
-3.07808,-2.495
-3.23367,-2.52039
-2.81673,-2.57798
-2.80163,-2.40673
-3.1356,-2.76328
-2.63527,-2.71742
-2.45664,-3.11819
-2.04886,-2.98453
-1.61686,-3.12029
-1.74963,-3.30461
-1.69766,-3.21226
-1.0351,-3.7297
-0.0670005,-3.74428
0.0430756,-3.79449
0.186261,-3.83676
1.17023,-3.71869
1.01519,-3.59615
1.70885,-3.30955
2.34674,-3.4414
2.35115,-3.16418
2.66345,-2.99696
2.61354,-3.12275
3.00422,-2.83662
3.28287,-2.8521
3.24044,-2.5053
3.63238,-2.39479
3.69925,-2.31545
3.40795,-2.50174
3.77004,-2.23277
3.86669,-2.30241
3.93535,-2.21392
4.15586,-2.12304
4.21226,-2.05724
-4.09306,-1.83676
-4.02112,-1.97036
-3.94807,-1.89263
-3.80269,-2.14758
-3.45096,-2.31305
-3.51062,-2.23031
-3.24856,-2.34311
-3.32987,-2.27821
-3.3773,-2.68643
-3.30228,-2.75497
-2.68417,-2.51901
-3.01142,-2.57208
-2.35977,-2.61847
-2.72697,-2.8205
-1.90163,-3.18921
-1.55958,-2.98187
-1.32806,-3.28814
-0.479027,-3.45399
-0.857619,-3.44379
-0.256301,-3.52412
0.501067,-3.71562
0.946061,-3.7971
1.07826,-3.88828
1.59353,-3.4921
2.313,-3.3388
2.52822,-3.31205
2.74334,-2.87881
2.94348,-2.74919
3.022,-2.63964
3.25806,-2.68773
3.31505,-2.44465
3.50093,-2.42922
3.80868,-2.01246
3.47003,-2.00227
3.68026,-2.15739
3.99239,-1.98475
4.25633,-2.00583
4.3022,-1.95232
4.35075,-1.86995
-4.16146,-1.70973
-3.85564,-2.06131
-4.12752,-1.77276
-4.05878,-1.90043
-3.74785,-2.23609
-3.48872,-2.45875
-3.70887,-2.09391
-3.45136,-1.85087
-3.15735,-2.42435
-3.40504,-2.51537
-3.30653,-2.44763
-2.91054,-2.49633
-2.64951,-2.90025
-1.918,-2.97261
-1.57661,-3.25245
-1.04721,-3.11765
-0.999043,-2.97727
-1.08251,-3.25551
-0.0635471,-3.4495
0.0694646,-3.51092
0.555316,-3.91623
1.14194,-3.56721
1.2995,-3.84839
1.43898,-3.37218
2.64457,-2.70041
2.84103,-2.81058
3.0994,-2.72777
2.98401,-2.36102
3.58661,-2.06649
2.58199,-2.44402
3.54028,-2.32289
3.90908,-2.05903
3.96628,-1.824
4.12837,-1.97696
4.00288,-2.13542
4.24083,-1.82885
4.38786,-1.78224
