x,y
0.326129,-4.35485
-0.400236,-4.08384
-0.256136,-4.14023
-0.0368808,-4.14766
-0.142121,-4.18484
-0.0632029,-4.21572
0.133857,-4.29283
0.0633692,-4.26525
0.201943,-4.31948
0.268249,-4.26944
0.338806,-4.27031
0.267755,-4.34523
0.405314,-4.33658
0.473786,-4.25407
0.489016,-4.31726
0.594095,-4.29301
0.681494,-4.27284
0.807406,-4.17463
0.814058,-4.24225
0.868916,-4.15778
0.943162,-4.21246
1.03951,-4.19023
0.938774,-4.14512
1.13598,-4.16796
1.25216,-4.14115
1.3441,-4.11994
1.43387,-4.09922
1.54014,-4.0747
-1.04392,-3.83196
-0.953841,-3.86721
-0.820435,-3.91942
-0.709682,-3.96275
-0.585957,-3.92126
-0.64323,-3.98876
-0.557532,-4.02229
-0.449419,-3.99982
-0.480534,-4.05242
-0.304824,-4.05298
-0.326673,-4.11263
-0.106032,-4.11862
0.0359263,-4.17311
-0.0122207,-4.08063
0.00210017,-4.24128
0.214989,-4.17394
0.239251,-4.10667
0.196549,-4.24125
0.410883,-4.26844
0.367856,-4.19774
0.519425,-4.17009
0.544004,-4.24181
0.673333,-4.19488
0.744407,-4.25833
0.739119,-4.18445
0.917576,-4.07153
0.998905,-4.05518
1.01608,-4.13083
1.1658,-4.08583
1.09239,-4.10676
1.32472,-4.05544
1.4787,-4.02293
1.40334,-4.03823
1.61785,-4.05676
1.61579,-3.99783
1.71617,-4.03407
1.68499,-3.9757
1.90909,-3.98277
1.82708,-4.00848
1.86943,-3.91598
2.01219,-3.92184
2.0837,-3.87959
-1.96419,-3.58629
-1.83686,-3.5609
-1.8427,-3.61779
-1.73229,-3.64642
-1.70925,-3.58151
-1.57735,-3.68659
-1.49531,-3.6528
-1.47812,-3.71231
-1.41726,-3.65776
-1.36357,-3.74201
-1.26725,-3.69927
-1.27979,-3.76373
-1.20568,-3.70795
-1.18171,-3.78916
-1.10845,-3.80815
-0.884859,-3.89421
-0.940215,-3.80782
-0.864858,-3.83366
-0.794975,-3.86794
-0.650756,-3.90638
-0.726758,-3.89165
-0.530506,-3.96453
-0.379836,-4.03107
-0.281903,-3.98701
-0.168014,-4.10334
-0.234058,-4.08005
-0.0864522,-4.04982
0.0833808,-4.03905
0.118855,-4.21765
0.295625,-4.19607
0.402423,-4.11406
0.582645,-4.14846
0.744469,-4.11159
0.813635,-4.02388
0.828948,-4.09413
0.894455,-4.00066
1.24485,-4.08174
1.30691,-3.97986
1.38463,-3.96938
1.29318,-3.90733
1.53407,-3.94027
1.73228,-3.88052
1.75247,-3.95499
1.81262,-3.93704
1.87967,-3.83226
1.98221,-3.85512
1.92636,-3.89287
2.12238,-3.78307
2.15945,-3.83482
2.23169,-3.79214
2.25171,-3.69488
2.30244,-3.75033
2.40391,-3.69037
2.31494,-3.65832
2.49843,-3.63452
2.57558,-3.58893
-2.74991,-3.37889
-2.65188,-3.408
-2.56192,-3.43133
-2.54235,-3.36673
-2.49283,-3.44924
-2.33911,-3.48909
-2.41247,-3.47007
-2.2434,-3.51391
-2.30745,-3.37485
-2.24729,-3.44724
-2.12766,-3.54391
-2.05636,-3.5624
-1.89156,-3.54008
-1.8455,-3.48551
-2.00963,-3.44788
-1.7723,-3.56124
-1.68835,-3.52005
-1.65545,-3.66634
-1.55981,-3.63792
-1.47357,-3.58707
-1.3289,-3.61472
-1.39593,-3.53217
-1.1076,-3.65274
-1.3346,-3.68286
-1.07223,-3.74167
-1.14415,-3.72187
-0.842613,-3.77504
-0.745958,-3.74329
-0.613062,-3.82953
-0.543449,-3.85278
-0.493771,-3.90709
-0.422596,-3.94409
-0.156337,-4.03397
0.0127896,-4.00783
0.0605457,-4.11394
0.135105,-4.14703
0.442678,-4.18415
0.611785,-4.21964
0.87214,-3.91522
0.975847,-3.98351
1.46456,-3.95702
1.23852,-4.02167
1.36998,-3.89154
1.53511,-3.86892
1.59688,-3.93506
1.94548,-3.80029
1.80698,-3.85247
1.78806,-3.78554
2.05458,-3.82357
2.19244,-3.7369
2.2749,-3.5931
2.14644,-3.68158
2.58482,-3.50946
2.37941,-3.62679
2.65133,-3.54417
2.64587,-3.46951
2.74863,-3.33332
2.71796,-3.43353
2.73495,-3.49476
2.82997,-3.43861
2.91067,-3.39092
3.01443,-3.32961
-3.15613,-3.02344
-3.04349,-3.122
-3.09907,-3.07337
-2.96169,-3.19358
-2.86107,-3.20344
-2.89498,-3.25195
-2.76127,-3.30284
-2.84029,-3.2998
-2.61269,-3.36084
-2.59732,-3.29834
-2.45665,-3.3305
-2.46806,-3.39227
-2.39604,-3.40962
-2.23098,-3.38235
-2.31915,-3.43743
-2.1765,-3.46366
-2.0272,-3.51164
-2.10964,-3.49035
-1.95395,-3.52322
-1.83035,-3.42821
-1.67237,-3.45956
-1.63536,-3.6134
-1.40273,-3.59711
-0.978134,-3.70643
